id,sold
1268,3
344,1
0,58
346,3
342,2
343,3
1493,15
1495,19
1498,85
1069,1
1068,15
1061,1
427,1
290,2
1087,10
593,18
199,2
198,2
1081,1
1121,1
271,2
272,1
1401,1
1400,1
1103,1
1339,7
1338,6
1232,1
442,1
1337,4
440,2
1331,4
1330,2
1332,3
108,1
903,4
907,1
1241,2
1243,4
1242,7
645,3
647,5
431,10
339,1
335,3
337,1
336,1
332,1
850,8
851,3
852,5
345,5
859,1
1468,54
552,2
235,1
230,1
231,1
1191,4
1190,2
1194,3
1197,1
1196,1
1177,1
1279,6
1172,2
1271,1
610,1
1273,1
1274,1
1275,1
1276,5
1277,2
1285,14
1284,2
1281,1
1283,3
1282,1
1288,1
1472,96
1473,4
1470,3
1476,116
1477,5
1474,1
1304,3
1305,2
1307,5
1301,1
1302,1
1303,1
1309,1
133,1
494,1
496,1
406,1
1373,1
401,2
1376,1
931,1
1343,4
1344,5
1229,1
378,2
370,1
372,2
376,6
1278,3
393,2
391,1
390,6
397,1
1486,5
394,1
81,1
792,1
582,2
583,1
580,1
617,1
243,1
1348,22
1436,6
1434,4
1435,1
1433,6
1431,1
1438,2
518,2
511,10
510,11
517,1
516,3
458,2
1349,1
626,1
625,1
1340,5
1341,108
1342,27
453,3
454,3
1345,5
456,5
1347,10
177,1
171,2
656,2
657,1
1502,473
1503,204
186,1
1507,164
651,1
1508,50
653,3
10,1
220,5
12,1
14,1
659,1
320,20
321,2
326,1
327,2
324,1
328,1
201,1
203,35
207,2
209,1
208,2
1043,8
1042,4
1041,8
1044,1
1141,2
1262,1
1261,13
660,1
540,2
547,1
1467,1
549,1
1461,1
1463,1
1462,1
1315,3
1314,6
1313,3
1312,2
1310,8
1318,1
417,1
410,1
412,1
413,1
922,1
923,1
926,1
927,1
1346,15
318,2
313,1
312,1
311,5
369,3
366,6
362,1
361,5
1336,6
447,1
381,1
386,1
387,3
388,2
389,1
785,9
786,3
787,6
578,1
258,1
155,1
256,1
254,1
255,1
1038,1
508,4
1030,1
505,1
1037,1
630,1
632,1
1358,1
634,1
635,15
636,4
637,2
638,2
1352,3
1219,1
1355,2
167,2
1456,1
1102,2
1451,1
1453,1
1458,1
1459,1
400,1
641,1
878,5
877,12
1245,1
466,1
893,1
895,1
896,1
353,3
351,2
217,10
215,3
213,12
211,1
218,20
1078,5
1079,4
1076,2
1077,3
1074,21
1075,1
1072,4
1073,2
1299,1
1114,1
1092,5
1155,1
1098,8
1099,2
263,4
266,1
1334,2
57,1
534,1
1449,33
1416,1
1328,16
1329,3
429,3
1255,1
1396,1
425,1
1258,2
426,4
302,3
306,1
307,5
847,1
842,3
849,3
848,4
566,1
227,1
226,3
225,1
623,1
1445,1
1188,2
1189,2
1186,1
1187,1
1029,1
503,5
151,2
606,1
601,1
603,1
156,1
1207,1
609,1
1202,1
469,4
1217,1
952,1
954,1
40,1
1447,1
1298,24
1444,3
1115,1
1442,2
1441,1
1440,2
1292,1
1293,1
1291,1
1296,12
1297,11
1294,22
1350,17
463,11
487,3
484,2
483,2
480,3
473,1
1363,1
474,1
1368,1
