category_id,entity_id,position,product_id
382,1,0,4
391,2,0,4
433,3,0,4
381,5,0,10
412,6,0,10
467,7,0,10
382,8,0,11
418,9,0,11
447,10,0,11
384,11,0,12
398,12,0,12
450,13,0,12
381,14,0,13
412,15,0,13
467,16,0,13
381,17,0,14
412,18,0,14
467,19,0,14
384,20,0,15
398,21,0,15
450,22,0,15
381,23,0,16
412,24,0,16
467,25,0,16
381,26,0,17
412,27,0,17
467,28,0,17
384,29,0,18
398,30,0,18
450,31,0,18
381,32,0,19
412,33,0,19
467,34,0,19
381,35,0,20
412,36,0,20
467,37,0,20
384,38,0,21
398,39,0,21
450,40,0,21
381,41,0,22
412,42,0,22
467,43,0,22
384,44,0,23
398,45,0,23
450,46,0,23
381,47,0,24
412,48,0,24
467,49,0,24
381,50,0,25
412,51,0,25
467,52,0,25
381,53,0,26
412,54,0,26
467,55,0,26
381,56,0,27
412,57,0,27
467,58,0,27
381,59,0,28
412,60,0,28
467,61,0,28
384,62,0,29
398,63,0,29
450,64,0,29
384,65,0,30
398,66,0,30
450,67,0,30
384,68,0,31
398,69,0,31
450,70,0,31
381,71,0,32
412,72,0,32
471,73,0,32
384,74,0,33
398,75,0,33
450,76,0,33
384,77,0,34
398,78,0,34
450,79,0,34
384,80,0,35
398,81,0,35
450,82,0,35
384,86,0,37
398,87,0,37
450,88,0,37
381,89,0,38
412,90,0,38
467,91,0,38
384,92,0,39
398,93,0,39
450,94,0,39
384,95,0,40
398,96,0,40
450,97,0,40
381,98,0,41
412,99,0,41
467,100,0,41
381,101,0,42
412,102,0,42
470,103,0,42
384,104,0,43
398,105,0,43
384,109,0,45
398,110,0,45
384,111,0,46
398,112,0,46
384,113,0,47
398,114,0,47
384,115,0,48
398,116,0,48
384,117,0,49
400,118,0,49
381,119,0,50
412,120,0,50
467,121,0,50
384,122,0,51
400,123,0,51
384,124,0,52
400,125,0,52
381,126,0,53
412,127,0,53
467,128,0,53
384,129,0,54
400,130,0,54
381,131,0,55
412,132,0,55
468,133,0,55
384,134,0,56
400,135,0,56
381,136,0,57
412,137,0,57
468,138,0,57
381,139,0,58
412,140,0,58
468,141,0,58
384,142,0,59
398,143,0,59
