customer_id,increment_id,item_id,name,order_id,product_id,qty_ordered,sku
784,AR402F134726FCD7,1572,C2K Desi cow ghee 500gms,785,1498,1.0000,C2K Desi cow ghee 500gms
301,AR403D19F4FEE461,1573,24 Mantra Almonds,786,1503,1.0000,24 Mantra Almonds
301,AR403D19F4FEE461,1574,24 Mantra Almonds,786,1503,1.0000,24 Mantra Almonds
301,AR40485171E652ED,1575,C2K Desi cow ghee 500gms,787,1498,1.0000,C2K Desi cow ghee 500gms
305,AR405E1ED2B38383,1576,24 Mantra Almonds,788,1503,1.0000,24 Mantra Almonds
301,AR4063B9E3D0B4A0,1577,24 Mantra Almonds,789,1503,1.0000,24 Mantra Almonds
301,AR4063B9E3D0B4A0,1578,Arogya Rahasya Joint Less Copper Bottle,789,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR4126A17E60605D,1584,Arogya Rahasya Joint Less Copper Bottle,795,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR4131CBBFC14E53,1585,C2K Desi cow ghee 500gms,796,1498,1.0000,C2K Desi cow ghee 500gms
301,AR4131CBBFC14E53,1586,24 Mantra Almonds,796,1503,1.0000,24 Mantra Almonds
301,AR414BF0C9144CB2,1587,24 Mantra Almonds,797,1503,1.0000,24 Mantra Almonds
301,AR4159E1A89F0E0C,1588,24 Mantra Almonds,798,1503,1.0000,24 Mantra Almonds
301,AR416AD6A94DF2C6,1589,Arogyarahasya Prana shakthi 15ml,799,1068,1.0000,Arogyarahasya Prana shakthi 15ml
,AR41796A5E51F601,1590,24 Mantra Almonds,800,1503,1.0000,24 Mantra Almonds
,AR41796A5E51F601,1591,24 Mantra Almonds,800,1503,1.0000,24 Mantra Almonds
301,AR418FA382BFE3E8,1592,Arogyarahasya Prana shakthi 15ml,801,1068,1.0000,Arogyarahasya Prana shakthi 15ml
301,AR418FA382BFE3E8,1593,C2K Desi cow ghee 500gms,801,1498,1.0000,C2K Desi cow ghee 500gms
,AR421B88EB6D2D52,1596,Ancient Living Sesame baby massage oil,804,850,1.0000,Variation #7403 of Sesame baby massage oil
,AR421B88EB6D2D52,1597,Variation #7403 of Sesame baby massage oil,804,852,1.0000,Variation #7403 of Sesame baby massage oil
,AR421B88EB6D2D52,1598,Ancient Living Sesame baby massage oil,804,850,1.0000,Variation #7403 of Sesame baby massage oil
,AR421B88EB6D2D52,1599,Variation #7403 of Sesame baby massage oil,804,852,1.0000,Variation #7403 of Sesame baby massage oil
,AR4235957A9F9979,1603,Arogya Rahasya Joint Less Copper Bottle,806,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
,AR42432DD6A2F0F5,1604,Indus Valley Bio Organic Orange Peel Powder,807,1194,4.0000,Indus Valley Bio Organic Orange Peel Powder
301,AR4253453F7930B8,1605,C2K Desi cow ghee 500gms,808,1498,1.0000,C2K Desi cow ghee 500gms
301,AR4253453F7930B8,1606,Arogya Rahasya Desi cow ghee 400gms,808,203,1.0000,Arogya Rahasya Desi cow ghee 400gms
301,AR4253453F7930B8,1607,Ancient Living Orange Luxury Handmade Soap 100gms,808,878,1.0000,Ancient Living Orange Luxury Handmade Soap 100gms
301,AR426E4A32E212C8,1608,Aumfresh Thyme  10 gm,809,254,1.0000,Aumfresh Thyme  10 gm
301,AR427F9BE2A5F908,1609,24 Mantra Almonds,810,1503,1.0000,24 Mantra Almonds
,AR4284B645D7D81F,1610,Indus Valley Bio Organic Orange Peel Powder,811,1194,1.0000,Indus Valley Bio Organic Orange Peel Powder
,AR4284B645D7D81F,1611,Indus Valley Bio Organic Orange Peel Powder,811,1194,1.0000,Indus Valley Bio Organic Orange Peel Powder
301,AR429FFA16C8194F,1612,24 Mantra Almonds,812,1503,1.0000,24 Mantra Almonds
301,AR4302D4DC487648,1613,Roasted Flax Seeds 100gm,813,647,1.0000,Roasted Flax Seeds 100gm
301,AR43190572D9083B,1614,Terra greens Raw Pea Nuts 500gms,814,1298,1.0000,Terra greens Raw Pea Nuts 500gms
301,AR432125F9E9C184,1615,"Grenera Organics ""Amla Pomegranate Tea 20 Tea bags / box""",815,1449,1.0000,"Grenera Organics ""Amla Pomegranate Tea 20 Tea bags / box"""
,WP11519200542496,1616,"""Grenera Organic Spirulina  Powder - 500 grams""",816,1458,1.0000,"""Grenera Organic Spirulina  Powder - 500 grams"""
,WP11519200685879,1617,"""Grenera Organic Spirulina  Powder - 100 grams""",817,1459,1.0000,"""Grenera Organic Spirulina  Powder - 100 grams"""
301,AR438E72D35AF27C,1623,24 Mantra Almonds,821,1503,1.0000,24 Mantra Almonds
155,AR441FC2925B0FBC,1626,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,824,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
301,AR4422410C5643C3,1627,24 Mantra Almonds,825,1503,1.0000,24 Mantra Almonds
301,AR445135EFD3B95F,1630,24 Mantra Almonds,828,1503,1.0000,24 Mantra Almonds
301,AR45218F7E6F929A,1641,C2K Desi cow ghee 500gms,835,1498,1.0000,C2K Desi cow ghee 500gms
301,AR45218F7E6F929A,1642,24 Mantra Almonds,835,1503,1.0000,24 Mantra Almonds
301,AR456632BF66197B,1646,24 Mantra Almonds,839,1503,1.0000,24 Mantra Almonds
301,AR4572A711937344,1647,24 Mantra Almonds,840,1503,1.0000,24 Mantra Almonds
301,AR4585AC915651A2,1648,24 Mantra Almonds,841,1503,1.0000,24 Mantra Almonds
301,AR459930910A13DE,1649,Gau Naturals Aswagandha chutney powder 90gms,842,505,1.0000,Gau Naturals Aswagandha chutney powder 90gms
301,AR460D9E35EE8AE3,1650,24 Mantra Almonds,843,1503,1.0000,24 Mantra Almonds
301,AR461DF914302433,1651,Roasted Flax Seeds 100gm,844,647,1.0000,Roasted Flax Seeds 100gm
301,AR462C19CEF1B032,1652,24 Mantra Almonds,845,1503,1.0000,24 Mantra Almonds
301,AR462C19CEF1B032,1653,Terra greens Fenugreek (Menthulu) 100gms,845,1268,1.0000,Terra greens Fenugreek (Menthulu) 100gms
301,AR463A2A109505F2,1654,Roasted Flax Seeds 100gm,846,647,1.0000,Roasted Flax Seeds 100gm
305,AR46420FAB328BA4,1655,24 Mantra Almonds,847,1503,1.0000,24 Mantra Almonds
305,AR46420FAB328BA4,1656,H2O Copper Water Bottle,847,1339,1.0000,H2O Copper Water Bottle
301,AR467B6D9479792A,1661,C2K Desi cow ghee 500gms,850,1498,1.0000,C2K Desi cow ghee 500gms
301,AR467B6D9479792A,1662,24 Mantra Almonds,850,1503,1.0000,24 Mantra Almonds
301,AR469EA726D3E817,1664,24 Mantra Almonds,852,1503,1.0000,24 Mantra Almonds
,AR471BB0BFDEFEA2,1671,Ancient Living Sesame baby massage oil,854,850,1.0000,Variation #7403 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1672,Variation #7403 of Sesame baby massage oil,854,852,1.0000,Variation #7403 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1673,Ancient Living Sesame baby massage oil,854,850,1.0000,Variation #7402 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1674,Variation #7402 of Sesame baby massage oil,854,851,1.0000,Variation #7402 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1675,Ancient Living Sesame baby massage oil,854,850,1.0000,Variation #7403 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1676,Variation #7403 of Sesame baby massage oil,854,852,1.0000,Variation #7403 of Sesame baby massage oil
,AR471BB0BFDEFEA2,1677,"INLIFE Natural Breast Firming Massage Cream,100g For Breast Shaping & Tightening",854,406,1.0000,406
794,AR4724994F4F2110,1678,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,855,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
796,AR4736A1B0FCD278,1679,Ancient Living Sesame baby massage oil,856,850,1.0000,Variation #7402 of Sesame baby massage oil
796,AR4736A1B0FCD278,1680,Variation #7402 of Sesame baby massage oil,856,851,1.0000,Variation #7402 of Sesame baby massage oil
301,AR477ABE30E45C06,1687,24 Mantra Almond and Moringa Chikki Combo,860,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR477ABE30E45C06,1688,24 Mantra Almonds,860,1503,1.0000,24 Mantra Almonds
301,AR477ABE30E45C06,1689,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,860,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
301,AR477ABE30E45C06,1690,Amlamrut Amla honey 300gms,860,1476,1.0000,Amlamrut Amla honey 300gms
301,AR4787603F565424,1691,24 Mantra Almonds,861,1503,1.0000,24 Mantra Almonds
301,AR4794E328C5BEAC,1692,24 Mantra Almonds,862,1503,1.0000,24 Mantra Almonds
301,AR48307693977821,1696,24 Mantra Almonds,866,1503,1.0000,24 Mantra Almonds
301,AR4849B13213CECD,1697,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX,867,1468,1.0000,Grenera Organics GREEN TEA 200 GRAM -100 TEA BAGS / BOX
301,AR4849B13213CECD,1698,24 Mantra Almonds,867,1503,1.0000,24 Mantra Almonds
301,AR4849B13213CECD,1699,24 Mantra Almonds,867,1503,1.0000,24 Mantra Almonds
301,AR4849B13213CECD,1700,Arogya Rahasya Joint Less Copper Bottle,867,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR4849B13213CECD,1701,24 Mantra Almonds,867,1503,1.0000,24 Mantra Almonds
301,AR485D4DC1FB4654,1702,Terra greens Raw Pea Nuts 500gms,868,1298,1.0000,Terra greens Raw Pea Nuts 500gms
301,AR486171FCF9FB47,1703,24 Mantra Almonds,869,1503,1.0000,24 Mantra Almonds
301,AR4874C10B23ED64,1704,24 Mantra Almonds,870,1503,1.0000,24 Mantra Almonds
301,AR4874C10B23ED64,1705,24 Mantra Almonds,870,1503,1.0000,24 Mantra Almonds
301,AR488195189FFEE8,1706,24 Mantra Almonds,871,1503,1.0000,24 Mantra Almonds
301,AR4890494828D239,1707,24 Mantra Almonds,872,1503,1.0000,24 Mantra Almonds
,WP11519714660692,1708,ROCK SALT G,873,1508,1.0000,268
301,AR492666EEB7F34D,1710,24 Mantra Almond and Moringa Chikki Combo,875,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR495C5546C19C26,1714,24 Mantra Almond and Moringa Chikki Combo,878,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR495C5546C19C26,1715,ROCK SALT G,878,1508,1.0000,268
301,AR4976387F3EB0BC,1717,24 Mantra Almond and Moringa Chikki Combo,880,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR4976387F3EB0BC,1718,24 Mantra Almond and Moringa Chikki Combo,880,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR501A2D98624E81,1722,Arogya Rahasya Joint Less Copper Bottle,884,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
155,AR5029A2E1D6B03D,1723,Goratna Nethra Jyothi 10ml,885,369,1.0000,Goratna Nethra Jyothi 10ml
305,AR503FE76203EA47,1724,C2K Desi cow ghee 500gms,886,1498,1.0000,C2K Desi cow ghee 500gms
305,AR503FE76203EA47,1725,24 Mantra Almonds,886,1503,1.0000,24 Mantra Almonds
801,AR507C2CD34D956A,1730,24 Mantra Almond and Moringa Chikki Combo,890,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
801,AR5083AC9A578585,1731,24 Mantra Almond and Moringa Chikki Combo,891,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
801,AR5091E57FC9364B,1732,Arogya Rahasya Cow dung Cakes,892,1285,1.0000,Arogya Rahasya Cow dung Cakes
301,AR510520E1DD2797,1733,Arogya Rahasya Joint Less Copper Bottle,893,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR510520E1DD2797,1734,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm,893,1472,1.0000,Grenera Organics HIBISCUS INFUSION - 20 TEA BAGS / BOX 40gm
301,AR511D6A6A091075,1735,24 Mantra Almond and Moringa Chikki Combo,894,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR5128A4E35678C4,1736,24 Mantra Almond and Moringa Chikki Combo,895,1507,1.0000,24 Mantra Almond and Moringa Chikki Combo
301,AR513812E3ED2DDC,1737,Arogya Rahasya Joint Less Copper Bottle,896,1502,1.0000,Arogya Rahasya Joint Less Copper Bottle
301,AR51436CF66D9E84,1738,Arogya Rahasya Joint Less Copper Bottle,897,1502,2.0000,Arogya Rahasya Joint Less Copper Bottle
248,AR5174CD2A3BA099,1741,Amlamrut Amla honey 300gms,900,1476,1.0000,Amlamrut Amla honey 300gms
248,AR518EEB34B1D595,1742,Amlamrut Amla honey 300gms,901,1476,1.0000,Amlamrut Amla honey 300gms
248,AR519F23356B4BB6,1743,Amlamrut Amla honey 300gms,902,1476,1.0000,Amlamrut Amla honey 300gms
